ED_num,reported,candidate,party,votes,AD_num
ED   60,99.00%,YES,&nbsp,382,AD 26
ED   60,99.00%,NO,&nbsp,234,AD 26
ED   61,99.00%,YES,&nbsp,549,AD 26
ED   61,99.00%,NO,&nbsp,281,AD 26
ED   62,99.00%,YES,&nbsp,404,AD 26
ED   62,99.00%,NO,&nbsp,301,AD 26
ED   63,99.00%,YES,&nbsp,0,AD 26
ED   63,99.00%,NO,&nbsp,0,AD 26
ED   64,99.00%,YES,&nbsp,0,AD 26
ED   64,99.00%,NO,&nbsp,0,AD 26
ED   65,99.00%,YES,&nbsp,0,AD 26
ED   65,99.00%,NO,&nbsp,0,AD 26
ED   66,99.00%,YES,&nbsp,0,AD 26
ED   66,99.00%,NO,&nbsp,0,AD 26
Total,,YES,&nbsp,26352,AD 26
Total,,NO,&nbsp,16227,AD 26
ED    1,90.91%,YES,&nbsp,184,AD 27
ED    1,90.91%,NO,&nbsp,149,AD 27
ED    2,99.00%,YES,&nbsp,705,AD 27
ED    2,99.00%,NO,&nbsp,130,AD 27
ED    3,99.00%,YES,&nbsp,771,AD 27
ED    3,99.00%,NO,&nbsp,202,AD 27
ED    4,99.00%,YES,&nbsp,763,AD 27
ED    4,99.00%,NO,&nbsp,208,AD 27
ED    5,99.00%,YES,&nbsp,823,AD 27
ED    5,99.00%,NO,&nbsp,255,AD 27
ED    6,99.00%,YES,&nbsp,455,AD 27
ED    6,99.00%,NO,&nbsp,139,AD 27
ED    7,99.00%,YES,&nbsp,101,AD 27
ED    7,99.00%,NO,&nbsp,130,AD 27
ED    8,99.00%,YES,&nbsp,226,AD 27
ED    8,99.00%,NO,&nbsp,81,AD 27
ED    9,99.00%,YES,&nbsp,287,AD 27
ED    9,99.00%,NO,&nbsp,226,AD 27
ED   10,99.00%,YES,&nbsp,263,AD 27
ED   10,99.00%,NO,&nbsp,46,AD 27
ED   11,99.00%,YES,&nbsp,190,AD 27
ED   11,99.00%,NO,&nbsp,48,AD 27
