AD_num,reported,candidate,party,votes,scrape_time
AD   56,97.92%,Jenifer Rajkumar,(Democratic),1787,2025-07-02_13:52:53.292283
AD   56,97.92%,WRITE-IN,,89,2025-07-02_13:52:53.292283
AD   57,97.27%,Jumaane D. Williams,(Democratic),26242,2025-07-02_13:52:53.292283
AD   57,97.27%,Marty Dolan,(Democratic),1043,2025-07-02_13:52:53.292283
AD   57,97.27%,Jenifer Rajkumar,(Democratic),2725,2025-07-02_13:52:53.292283
AD   57,97.27%,WRITE-IN,,110,2025-07-02_13:52:53.292283
AD   58,98.17%,Jumaane D. Williams,(Democratic),10939,2025-07-02_13:52:53.292283
AD   58,98.17%,Marty Dolan,(Democratic),570,2025-07-02_13:52:53.292283
AD   58,98.17%,Jenifer Rajkumar,(Democratic),807,2025-07-02_13:52:53.292283
AD   58,98.17%,WRITE-IN,,20,2025-07-02_13:52:53.292283
AD   59,98.88%,Jumaane D. Williams,(Democratic),9352,2025-07-02_13:52:53.292283
AD   59,98.88%,Marty Dolan,(Democratic),1073,2025-07-02_13:52:53.292283
AD   59,98.88%,Jenifer Rajkumar,(Democratic),1147,2025-07-02_13:52:53.292283
AD   59,98.88%,WRITE-IN,,43,2025-07-02_13:52:53.292283
AD   60,95.95%,Jumaane D. Williams,(Democratic),8196,2025-07-02_13:52:53.292283
AD   60,95.95%,Marty Dolan,(Democratic),485,2025-07-02_13:52:53.292283
AD   60,95.95%,Jenifer Rajkumar,(Democratic),797,2025-07-02_13:52:53.292283
AD   60,95.95%,WRITE-IN,,36,2025-07-02_13:52:53.292283
AD   61,96.46%,Jumaane D. Williams,(Democratic),7072,2025-07-02_13:52:53.292283
AD   61,96.46%,Marty Dolan,(Democratic),1172,2025-07-02_13:52:53.292283
AD   61,96.46%,Jenifer Rajkumar,(Democratic),2114,2025-07-02_13:52:53.292283
AD   61,96.46%,WRITE-IN,,94,2025-07-02_13:52:53.292283
AD   62,99.00%,Jumaane D. Williams,(Democratic),2450,2025-07-02_13:52:53.292283
